CustomerID,Age,Gender,City,SubscriptionType,MonthlySpending,Tenure,NumberOfPurchases,SupportRequests,LoginFrequency,LastActivityDays,SatisfactionScore,Churn
CUST0001,58,Male,Lahore,Premium,2506.0,18,29,2,24,86,2.0,Yes
CUST0002,65,Male,Peshawar,Basic,1267.0,2,28,3,17,3,10.0,No
CUST0003,53,Male,Peshawar,Basic,5327.0,29,36,0,25,89,3.0,No
CUST0004,45,Female,Faisalabad,Basic,6754.0,14,44,1,3,12,7.0,No
CUST0005,40,Female,Faisalabad,Basic,4263.0,47,69,1,30,10,7.0,No
CUST0006,53,Female,Multan,Premium,6271.0,13,9,0,22,37,4.0,No
CUST0007,23,Male,Karachi,Standard,4214.0,18,82,5,6,45,6.0,No
CUST0008,31,Female,Karachi,Premium,1901.0,41,69,3,6,48,8.0,No
CUST0009,35,Male,Multan,Basic,7232.0,15,5,5,13,8,5.0,No
CUST0010,31,Female,Rawalpindi,Premium,3741.0,32,83,7,5,17,5.0,No
CUST0011,33,Female,Peshawar,Premium,3465.0,26,29,2,17,11,8.0,No
CUST0012,66,Male,Karachi,Basic,1810.0,41,88,6,20,49,2.0,Yes
CUST0013,42,Female,Faisalabad,Premium,594.0,56,88,1,22,34,9.0,No
CUST0014,67,Female,Karachi,Standard,1795.0,28,59,0,24,64,5.0,No
CUST0015,66,Male,Karachi,Premium,7394.0,20,82,8,20,19,4.0,No
CUST0016,41,Male,Lahore,Premium,4502.0,21,3,1,30,39,6.0,No
CUST0017,33,Male,Rawalpindi,Premium,1201.0,6,94,7,27,68,2.0,Yes
CUST0018,67,Male,Islamabad,Premium,5003.0,31,22,4,17,54,10.0,No
CUST0019,31,Male,Faisalabad,Standard,5823.0,43,48,7,29,57,9.0,No
CUST0020,25,Male,Rawalpindi,Basic,672.0,22,76,8,8,28,10.0,No
CUST0021,18,Male,Lahore,Basic,7917.0,5,5,5,3,30,9.0,No
CUST0022,35,Female,Rawalpindi,Premium,6425.0,9,74,9,16,60,4.0,Yes
CUST0023,69,Female,Rawalpindi,Basic,5898.0,7,56,5,14,59,7.0,No
CUST0024,64,Male,Karachi,Basic,6465.0,26,44,1,8,24,4.0,No
CUST0025,52,Female,Islamabad,Standard,2781.0,12,60,3,28,56,2.0,Yes
CUST0026,69,Male,Lahore,Premium,7348.0,35,2,1,30,21,4.0,No
CUST0027,44,Female,Quetta,Basic,3785.0,56,8,2,13,49,1.0,Yes
CUST0028,34,Female,Faisalabad,Standard,6484.0,45,72,10,23,19,8.0,No
CUST0029,30,Female,Rawalpindi,Basic,6527.0,38,70,0,24,7,6.0,No
CUST0030,21,Female,Islamabad,Basic,,33,24,1,20,86,2.0,Yes
CUST0031,33,Female,Karachi,Premium,5242.0,16,77,0,20,53,2.0,No
CUST0032,60,Female,Faisalabad,Basic,6367.0,43,41,3,9,16,7.0,No
CUST0033,60,Female,Quetta,Standard,6659.0,60,10,0,15,72,10.0,No
CUST0034,24,Male,Rawalpindi,Premium,1585.0,17,45,1,29,47,4.0,Yes
